Идентификатор;Место в России;Место в субъекте;Сумма баллов(общая);Наименование ОО;Сумма баллов (ОБРАЗОВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (ОБРАЗОВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (МЕЖДУНАРОДНАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (МЕЖДУНАРОДНАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (УРОВЕНЬ ПОДГОТОВКИ ВЫПУСКНИКОВ ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ СПО);Место в блоке (УРОВЕНЬ ПОДГОТОВКИ ВЫПУСКНИКОВ ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ СПО);Сумма баллов (ИНФРАСТРУКТУРА);Место в блоке (ИНФРАСТРУКТУРА);Сумма баллов (ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (КАДРОВЫЙ СОСТАВ);Место в блоке (КАДРОВЫЙ СОСТАВ);Сумма баллов (РЕАЛИЗАЦИЯ ПРОГРАММ ДПО);Место в блоке (РЕАЛИЗАЦИЯ ПРОГРАММ ДПО);Сумма баллов (СОЦИАЛЬНАЯ ОТВЕТСТВЕННОСТЬ);Место в блоке (СОЦИАЛЬНАЯ ОТВЕТСТВЕННОСТЬ);1.4.1 и 1.4.2;1.5.1 и 1.5.2;1.8;1.10;2.2;3.3.1 и 3.3.2;4.3;4.6;5.1;5.2;6.2;6.3;7.1;8.2;8.4;8.5;8.10
1;49;1;45;"Государственное бюджетное профессиональное образовательное учреждение ""Свердловский областной медицинский колледж""";9;22;4;1;2;20;5;27;8;1;5;3;3;1;9;19; 98,57; 4,30; 71,29; 2,94; 3,96; 75,00; 72,96; 7,80; 134,72; 663,22; 16,33; 7,51; 100,00; 64,89; 78,85; 6,34; 7356,33
2;72;2;43;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Екатеринбургский экономико-технологический колледж""";13;1;3;15;2;20;7;1;7;9;0;27;1;64;10;9; 27,41; 4,15; 70,65; 0,65; 1,25; 62,50; 83,38; 62,28; 123,10; 474,53; 0,00; 0,00; 88,07; 59,11; 100,00; 12,10; 0,00
3;123;3;41;"Государственное автономное профессиональное учреждение Свердловской области ""Екатеринбургский торгово - экономический техникум""";11;4;3;15;2;20;5;27;4;55;3;9;1;64;12;3; 15,56; 4,12; 65,93; 0,20; 0,79; 54,55; 60,75; 17,17; 91,97; 362,69; 0,00; 12,47; 71,03; 48,24; 100,00; 16,60; 32,10
4;123;3;41;"Государственное бюджетное профессиональное образовательной учреждение Свердловской области ""Екатеринбургский техникум отраслевых технологий и сервиса""";7;41;1;45;0;43;6;14;5;33;7;2;2;49;13;1; 25,67; 3,78; 28,69; 0,00; 0,31; 0,00; 48,02; 22,08; 108,69; 72,61; 10,09; 18,61; 93,33; 51,77; 100,00; 6,37; 230,80
5;123;3;41;Государственное автономное профессиональное образовательное учреждение Свердловской области «Уральский колледж строительства, архитектуры и предпринимательства»;10;10;1;45;4;1;7;1;8;1;0;27;2;49;9;19; 25,23; 4,11; 61,17; 0,00; 0,29; 100,00; 59,20; 85,57; 131,07; 894,89; 0,00; 0,00; 89,11; 47,95; 100,00; 12,76; 0,00
6;123;3;41;"ГБПОУ СО ""Нижнетагильский торгово - экономический колледж""";9;22;1;45;2;20;6;14;8;1;4;5;3;1;8;31; 12,70; 4,01; 67,25; 0,00; 0,15; 71,43; 47,48; 25,47; 144,59; 804,63; 1,75; 11,32; 100,00; 55,58; 100,00; 0,35; 0,00
7;161;7;40;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Свердловский областной педагогический колледж""";11;4;2;31;3;14;4;49;6;18;3;9;2;49;9;19; 0,00; 4,06; 64,53; 4,34; 0,61; 87,50; 74,71; 0,00; 111,19; 368,88; 0,00; 17,20; 95,64; 28,67; 100,00; 22,94; 0,00
8;161;7;40;Государственное автономное профессиональное образовательное учреждение Свердловской области «Колледж управления и сервиса «Стиль»;10;10;1;45;4;1;7;1;7;9;0;27;3;1;8;31; 21,58; 3,86; 63,81; 0,11; 0,23; 100,00; 59,63; 25,65; 119,33; 401,84; 0,00; 0,00; 100,00; 30,92; 100,00; 8,38; 0,00
9;203;9;39;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Екатеринбургский колледж транспортного строительства""";10;10;4;1;2;20;3;72;5;33;0;27;2;49;13;1; 20,02; 4,03; 61,79; 0,00; 1,58; 53,33; 30,00; 8,30; 101,77; 448,13; 0,00; 0,00; 94,87; 60,20; 100,00; 11,99; 108,52
10;203;9;39;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Ревдинский педагогический колледж""";13;1;3;15;0;43;7;1;5;33;0;27;1;64;10;9; 100,00; 4,24; 78,00; 1,71; 0,55; 0,00; 71,52; 28,85; 120,33; 3,27; 0,00; 0,00; 87,03; 97,25; 100,00; 0,00; 67,69
11;203;9;39;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Екатеринбургский монтажный колледж""";9;22;3;15;2;20;7;1;6;18;0;27;1;64;11;6; 29,20; 3,95; 45,91; 0,00; 0,77; 57,14; 89,53; 27,72; 112,11; 499,36; 0,00; 0,00; 73,53; 43,23; 100,00; 9,42; 46,63
