Образовательная организация,Профессия,Выпуск,Трудоустроены ,Трудоустроены по специальности,Индивидуальные предприниматели,Самозанятые,Продолжили обучение,Служба в ВС РФ,Служба по контракту,Декрет,Неформальная занятость,Зарегистрированы в ЦЗН в качестве безработных,Не имеют мотивации к трудоустройству,Иные причины нахождения под риском нетрудоустройства,Смерть; тяжелое состояние здоровья,Находятся под следствием; отбывают наказание ,Переезд за пределы РФ,Не могут трудоустраиваться в связи с семейными обстоятельствами,Выпускники из числа иностранных граждан; которые не имеют СНИЛС,Иное,будут трудоустроены,будут осуществлять предприни-мательскую деятельность,будут самозанятыми,будут призваны в армию,будут в армии на контрактной основе,будут продолжать обучение
ГАПОУ СО Алапаевский многопрофильный техникум,08.02.01 Строительство и эксплуатация зданий и сооружений,21,16,16,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,08.02.07 Монтаж и эксплуатация внутренних сантехнических устройств; кондиционирования воздуха и вентиляции,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,08.02.10 Строительство железных дорог; путь и путевое хозяйство,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,09.02.03 Программирование в компьютерных системах,24,6,6,1,0,0,4,0,1,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,13.02.11 Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),28,16,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,15.02.08 Технология машиностроения,14,4,1,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,19.02.10 Технология продукции общественного питания,17,5,2,0,0,0,3,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,23.02.01 Организация перевозок и управление на транспорте (по видам),36,28,21,0,0,0,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,23.02.03 Техническое обслуживание и ремонт автомобильного транспорта,26,15,14,0,1,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,23.02.06 Техническая эксплуатация подвижного состава железных дорог,38,19,16,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,38.02.04 Коммерция (по отраслям),22,10,5,0,0,0,2,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,39.02.01 Социальная работа,26,15,7,0,0,1,0,0,1,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,43.02.06 Сервис на транспорте (по видам транспорта),22,14,0,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,44.02.01 Дошкольное образование,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,44.02.06 Профессиональное обучение (по отраслям),11,9,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,46.02.01 Документационное обеспечение управления и архивоведение,18,11,3,0,0,0,1,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ГАПОУ СО Алапаевский многопрофильный техникум,49.02.01 Физическая культура,10,5,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Артемовский колледж точного приборостроения,09.02.01 Компьютерные системы и комплексы,18,5,4,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ГАПОУ СО Артемовский колледж точного приборостроения,19.02.10 Технология продукции общественного питания,13,7,7,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Артемовский колледж точного приборостроения,23.02.03 Техническое обслуживание и ремонт автомобильного транспорта,28,13,10,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Артемовский колледж точного приборостроения,13.01.10 Электромонтер по ремонту и обслуживанию электрооборудования (по отраслям),11,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ГАПОУ СО Артинский агропромышленный техникум,35.01.11 Мастер сельскохозяйственного производства,15,9,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Артинский агропромышленный техникум,35.01.15 Электромонтер по ремонту и обслуживанию электрооборудования в сельскохозяйственном производстве,20,9,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Артинский агропромышленный техникум,35.02.07 Механизация сельского хозяйства,14,13,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Артинский агропромышленный техникум,38.01.02 Продавец; контролер-кассир,14,10,10,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,09.02.03 Программирование в компьютерных системах,12,5,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,13.02.11 Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),45,25,20,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,15.01.05 Сварщик (ручной и частично механизированной сварки (наплавки),26,9,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,20.02.02 Защита в чрезвычайных ситуациях,23,4,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,20.02.04 Пожарная безопасность,25,7,4,0,0,1,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,21.01.10 Ремонтник горного оборудования,24,6,4,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,21.02.18 Обогащение полезных ископаемых,33,21,15,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,23.01.08 Слесарь по ремонту строительных машин,23,8,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,38.01.02 Продавец; контролер-кассир,23,18,16,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,38.02.03 Операционная деятельность в логистике,23,13,8,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,38.02.04 Коммерция (по отраслям),21,8,7,0,1,3,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,43.01.02 Парикмахер,20,13,9,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Асбестовский политехникум,43.02.01 Организация обслуживания в общественном питании,18,17,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Баранчинский электромеханический техникум,09.02.04 Информационные системы (по отраслям),16,10,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Баранчинский электромеханический техникум,15.01.36 Дефектоскопист,23,11,10,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Баранчинский электромеханический техникум,15.02.08 Технология машиностроения,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Баранчинский электромеханический техникум,23.01.03 Автомеханик,23,17,12,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Баранчинский электромеханический техникум,43.01.09 Повар; кондитер,13,6,6,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ГАПОУ СО Белоярский многопрофильный техникум,08.02.01 Строительство и эксплуатация зданий и сооружений,16,12,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
