Id;id_organiaztion;Id_speciality;graduates;employment;employspecial;employ4month;entrepreneur;self_employed;education;army_call;army_contract;decret;illegal_job;Employment Center;no_motivation;other;death;prison;move;family_circumstances;no_snils;other_2;will_work;will_entrepreneur;will_self_employed;will_army_call;will_army_contract;will_education;date_report
1;1;80201;21;16;16;16;;;;2;;;3;;;;;;;;;;;;;;;;01.01.2023
2;1;80207;10;10;10;10;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
3;1;80210;6;6;6;6;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
4;1;90203;24;13;7;13;1;;;;;;9;;;;;;;1;;;;;;;;;01.01.2023
5;1;130211;28;16;14;16;;;;12;;;;;;;;;;;;;;;;;;;01.01.2023
6;1;150208;14;12;6;4;;;;;;;2;;;;;;;;;;;;;;;;01.01.2023
7;1;190210;17;4;2;2;;;;;;7;6;;;;;;;;;;;;;;;;01.01.2023
8;1;230201;36;29;23;29;;;;;;2;4;1;;;;;;;;;;;;;;;01.01.2023
9;1;230203;26;20;19;14;;1;;;;;5;;;;;;;;;;;;;;;;01.01.2023
10;1;230206;38;31;24;26;;;;;1;;5;;;;1;;;;;;;;;;;;01.01.2023
11;1;380204;22;13;7;12;;;;;;1;8;;;;;;;;;;;;;;;;01.01.2023
12;1;390201;26;15;7;15;;;1;;;1;6;;1;1;;;;1;;;;;;;;;01.01.2023
13;1;430206;22;14;;14;;;2;;;1;5;;;;;;;;;;;;;;;;01.01.2023
14;1;440201;26;26;26;26;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
15;1;440206;11;9;9;9;;;;;;;2;;;;;;;;;;;;;;;;01.01.2023
16;1;460201;18;12;3;11;;;;1;;2;1;;;1;;;;1;;;;;;;;;01.01.2023
17;1;490201;10;7;3;7;;;;;;;3;;;;;;;;;;;;;;;;01.01.2023
18;2;90201;18;11;2;11;;2;3;2;;;;;;;;;;;;;;;;;;;01.01.2023
19;2;190210;13;7;3;6;;1;;2;;3;;;;;;;;;;;;;;;;;01.01.2023
20;2;230203;28;21;13;13;;2;;1;;;;4;;;;;;;;;;;;;;;01.01.2023
21;2;130110;11;5;4;4;;;;4;;;;;;;;;;;;;;;;2;;;01.01.2023
22;3;350111;15;13;9;4;;1;;1;;;;;;;;;;;;;;;;;;;01.01.2023
23;3;350115;20;18;9;8;;;;2;;;;;;;;;;;;;;;;;;;01.01.2023
24;3;350207;14;13;10;13;;;;;;;;;;;1;;;;;;;;;;;;01.01.2023
25;3;380102;14;10;10;8;;;1;;;1;;1;1;;;;;;;;;;;;;;01.01.2023
26;4;90203;12;8;6;5;;1;;1;;;2;;;;;;;;;;;;;;;;01.01.2023
27;4;130211;45;34;25;25;;;4;2;;;3;;;;;;;;;;2;;;;;;01.01.2023
28;4;150105;26;18;12;12;;2;;4;;;2;;;;;;;;;;;;;;;;01.01.2023
29;4;200202;23;8;5;4;;4;;4;1;;3;;;;;;;;;;3;;;;;;01.01.2023
30;4;200204;25;12;8;5;1;2;2;2;;3;3;;;;;;;;;;;;;;;;01.01.2023
31;4;210110;24;19;12;7;1;;1;3;;;;;;;;;;;;;;;;;;;01.01.2023
32;4;210218;33;27;20;21;;;1;;;;5;;;;;;;;;;;;;;;;01.01.2023
33;4;230108;23;10;8;8;;4;2;;;;3;;;;;;;;;;4;;;;;;01.01.2023
34;4;380102;23;22;16;16;;;;;;1;;;;;;;;;;;;;;;;;01.01.2023
35;4;380203;23;16;10;12;1;5;;;;;1;;;;;;;;;;;;;;;;01.01.2023
36;4;380204;21;11;10;8;;2;3;1;;2;2;;;;;;;;;;;;;;;;01.01.2023
37;4;430102;20;13;9;13;;;2;;;5;;;;;;;;;;;;;;;;;01.01.2023
38;4;430201;18;18;10;13;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
39;5;90204;16;14;8;3;;;1;;1;;;;;;;;;;;;;;;;;;01.01.2023
40;5;150136;23;18;7;5;;;2;;2;1;;;;;;;;;;;;;;;;;01.01.2023
41;5;150208;14;14;14;10;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
42;5;230103;23;17;7;5;;;2;;3;;1;;;;;;;;;;;;;;;;01.01.2023
43;5;430109;13;9;4;2;;;1;;;1;2;;;;;;;;;;;;;;;;01.01.2023
44;6;80201;16;12;8;6;;;;2;1;;;;;;;;;;;;1;;;;;;01.01.2023
45;6;90204;7;3;3;3;;;;;;1;2;;1;;;;;;;;;;;;;;01.01.2023
46;6;190210;12;7;1;1;;;;1;;4;;;;;;;;;;;;;;;;;01.01.2023
47;6;230203;9;8;8;8;;;;1;;;;;;;;;;;;;;;;;;;01.01.2023
48;6;340201;14;7;;;;3;;;;3;;;;;;1;;;;;;;;;;;01.01.2023
49;6;350207;8;8;4;4;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
50;6;380201;13;4;3;4;;;2;;;2;5;;;;;;;;;;;;;;;;01.01.2023
51;6;440201;37;34;31;3;;;1;;1;1;;;;;;;;;;;;;;;;;01.01.2023
52;7;80125;17;15;14;4;;;;;1;1;;;;;;;;;;;;;;;;;01.01.2023
53;7;80126;20;20;20;10;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
54;7;80201;14;14;14;7;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
55;7;150105;13;13;13;13;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
56;7;220206;22;22;21;8;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
57;7;230103;28;27;22;17;;;1;;;;;;;;;;;;;;;;;;;;01.01.2023
58;7;380204;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
59;7;430109;16;9;9;9;;;;2;;5;;;;;;;;;;;;;;;;;01.01.2023
60;8;130110;19;17;9;8;;;;2;;;;;;;;;;;;;;;;;;;01.01.2023
61;8;130211;17;14;7;7;;;2;;1;;;;;;;;;;;;;;;;;;01.01.2023
62;8;150212;24;24;19;15;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
63;8;180205;13;13;13;13;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
64;8;380201;17;14;7;14;;;2;;;1;;;;;;;;;;;;;;;;;01.01.2023
65;8;430102;14;9;7;7;;;;;;5;;;;;;;;;;;;;;;;;01.01.2023
66;9;90204;28;20;16;;;;7;1;;;;;;;;;;;;;;;;;;;01.01.2023
67;9;130211;25;24;20;;;;1;;;;;;;;;;;;;;;;;;;;01.01.2023
68;9;150208;22;20;17;;;1;;1;;;;;;;;;;;;;;;;;;;01.01.2023
69;9;180201;19;19;8;;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
70;9;190210;21;18;16;;;;1;;;2;;;;;;;;;;;;;;;;;01.01.2023
71;9;220206;19;19;13;;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
72;9;230203;44;41;21;;;;;3;;;;;;;;;;;;;;;;;;;01.01.2023
73;9;430102;22;19;17;;;;;;;3;;;;;;;;;;;;;;;;;01.01.2023
74;10;90207;11;7;7;7;;;;;;;4;;;;;;;;;;;;;;;;01.01.2023
75;10;130211;29;23;23;23;;;;1;2;1;;;1;;;;1;;;;;;;;;;01.01.2023
76;10;150125;15;9;5;9;;;3;2;1;;;;;;;;;;;;;;;;;;01.01.2023
77;10;150132;29;25;19;6;;;1;1;1;;;;;;;;;;;;1;;;;;;01.01.2023
78;10;150208;32;17;16;16;;;3;2;2;1;;;;;;;;;;;7;;;;;;01.01.2023
79;10;150209;18;17;17;17;;;;;;1;;;;;;;;;;;;;;;;;01.01.2023
80;10;150212;26;21;15;16;;;;2;3;;;;;;;;;;;;;;;;;;01.01.2023
81;10;190102;26;19;12;19;;;2;;;;1;;;;;;;;;3;1;;;;;;01.01.2023
82;10;220105;23;15;15;5;5;1;;1;;;;;;;;;1;;;;;;;;;;01.01.2023
83;10;220205;72;59;53;52;;1;3;;;5;1;;1;;1;;;;;;;1;;;;;01.01.2023
84;11;190210;16;10;6;10;;;1;2;;3;;;;;;;;;;;;;;;;;01.01.2023
85;11;230203;35;32;9;12;;3;;;;;;;;;;;;;;;;;;;;;01.01.2023
86;11;350207;11;7;2;5;;;;4;;;;;;;;;;;;;;;;;;;01.01.2023
87;11;490201;27;19;8;16;;3;;;;5;;;;;;;;;;;;;;;;;01.01.2023
88;12;80209;13;5;4;4;;;;6;;1;1;;;;;;;;;;;;;;;;01.01.2023
89;12;150201;14;14;14;14;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
90;12;380203;24;20;15;18;;;1;1;;;2;;;;;;;;;;;;;;;;01.01.2023
91;12;230203;14;14;12;14;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
92;12;430210;21;13;10;12;;;1;;;4;3;;;;;;;;;;;;;;;;01.01.2023
93;12;230103;18;13;9;10;;;;;3;;2;;;;;;;;;;;;;;;;01.01.2023
94;13;80201;45;33;29;2;;6;6;;;;;;;;;;;;;;;;;;;;01.01.2023
95;13;80203;5;4;2;;;;;;;1;;;;;;;;;;;;;;;;;01.01.2023
96;13;80206;13;12;7;1;;;1;;;;;;;;;;;;;;;;;;;;01.01.2023
97;13;80210;21;16;12;;;2;2;;;1;;;;;;;;;;;;;;;;;01.01.2023
98;13;90203;11;8;5;1;;2;1;;;;;;;;;;;;;;;;;;;;01.01.2023
99;13;200201;15;12;8;;;;2;;;1;;;;;;;;;;;;;;;;;01.01.2023
100;13;230203;13;11;4;2;;2;;;;;;;;;;;;;;;;;;;;;01.01.2023
101;13;270203;13;12;4;;;1;;;;;;;;;;;;;;;;;;;;;01.01.2023
102;13;380207;22;15;14;1;;2;3;;;2;;;;;;;;;;;;;;;;;01.01.2023
103;13;430211;12;8;7;2;;1;2;;;1;;;;;;;;;;;;;;;;;01.01.2023
104;13;540201;33;22;15;;;5;5;;;1;;;;;;;;;;;;;;;;;01.01.2023
105;14;80125;18;12;8;7;;;2;;;2;2;;;;;;;;;;;;;;;;01.01.2023
106;14;130110;14;12;7;7;;;;;;;2;;;;;;;;;;;;;;;;01.01.2023
107;14;130211;17;17;17;10;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
108;14;150105;17;13;8;6;;;;;;;3;;;;;;;;;;1;;;;;;01.01.2023
109;14;230117;19;15;8;8;;;;;;;2;;;;;;;;;;2;;;;;;01.01.2023
110;14;230201;21;19;17;16;;;;;1;1;;;;;;;;;;;;;;;;;01.01.2023
111;14;350113;21;17;9;9;;;;;;;3;;;;;;;;;;1;;;;;;01.01.2023
112;14;350207;30;25;19;14;;;;;;;4;;;;;;;;;;1;;;;;;01.01.2023
113;14;430109;17;12;10;10;;;;;;2;3;;;;;;;;;;;;;;;;01.01.2023
114;14;460101;17;15;15;10;;;;;;2;;;;;;;;;;;;;;;;;01.01.2023
115;15;80205;45;37;20;11;;1;5;2;;;;;;;;;;;;;;;;;;;01.01.2023
116;15;230117;22;18;14;16;;;;4;;;;;;;;;;;;;;;;;;;01.01.2023
117;15;230201;42;37;23;18;;;4;1;;;;;;;;;;;;;;;;;;;01.01.2023
118;15;230203;48;45;34;14;;;1;2;;;;;;;;;;;;;;;;;;;01.01.2023
119;15;230204;36;34;21;8;;;1;1;;;;;;;;;;;;;;;;;;;01.01.2023
120;15;80205;21;20;18;20;1;;;;;;;;;;;;;;;;;;;;;;01.01.2023
121;15;230201;16;16;9;9;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
122;15;230203;16;16;14;12;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
123;15;230204;21;21;17;17;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
124;16;80201;63;54;49;42;;;7;2;;;;;;;;;;;;;;;;;;;01.01.2023
125;16;80207;20;18;16;14;;;;2;;;;;;;;;;;;;;;;;;;01.01.2023
126;16;80208;30;28;26;22;;;;2;;;;;;;;;;;;;;;;;;;01.01.2023
127;16;80209;25;19;19;15;;;4;2;;;;;;;;;;;;;;;;;;;01.01.2023
128;16;80211;26;23;20;20;;;3;;;;;;;;;;;;;;;;;;;;01.01.2023
129;16;90204;24;19;16;15;;;3;2;;;;;;;;;;;;;;;;;;;01.01.2023
130;16;90207;12;10;8;9;;;1;1;;;;;;;;;;;;;;;;;;;01.01.2023
131;16;150212;16;12;11;8;;;3;1;;;;;;;;;;;;;;;;;;;01.01.2023
132;16;150214;19;17;15;12;;;2;;;;;;;;;;;;;;;;;;;;01.01.2023
133;16;210205;68;58;53;55;;1;6;2;;1;;;;;;;;;;;;;;;;;01.01.2023
134;16;380203;9;9;9;9;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
135;17;150105;9;4;4;3;1;;;3;1;;;;;;;;;;;;;;;;;;01.01.2023
136;17;150132;12;7;6;6;;;1;3;;;;;;;;;;;1;;;;;;;;01.01.2023
137;17;150201;36;30;22;17;;;2;4;;;;;;;;;;;;;;;;;;;01.01.2023
138;17;150208;36;28;19;12;1;;3;4;;;;;;;;;;;;;;;;;;;01.01.2023
139;17;200201;12;6;2;4;;;1;4;;1;;;;;;;;;;;;;;;;;01.01.2023
140;17;220206;5;5;3;4;;;;;;;;;;;;;;;;;;;;;;;01.01.2023
141;17;230103;12;5;;5;;;1;6;;;;;;;;;;;;;;;;;;;01.01.2023
142;17;230203;15;12;9;9;;;;3;;;;;;;;;;;;;;;;;;;01.01.2023
143;17;380202;12;10;3;10;;;;;;;2;;;;;;;;;;;;;;;;01.01.2023
144;17;430206;17;6;3;6;2;;4;;;1;4;;;;;;;;;;;;;;;;01.01.2023
145;18;90103;22;11;11;11;;;4;5;;2;;;;;;;;;;;;;;;;;01.01.2023
146;18;130110;23;13;13;13;;;;10;;;;;;;;;;;;;;;;;;;01.01.2023
147;18;150105;24;12;12;12;;;;12;;;;;;;;;;;;;;;;;;;01.01.2023
