1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.01 Stroitelstvo i ekspluatatsiya zdaniy i sooruzheniy,Vsego,21,16,16,16,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.01 Stroitelstvo i ekspluatatsiya zdaniy i sooruzheniy,litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.01 Stroitelstvo i ekspluatatsiya zdaniy i sooruzheniy,litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.01 Stroitelstvo i ekspluatatsiya zdaniy i sooruzheniy,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.01 Stroitelstvo i ekspluatatsiya zdaniy i sooruzheniy,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.07 Montazh i ekspluatatsiya vnutrennikh santekhnicheskikh ustroystv; konditsionirovaniya vozdukha i ventilyatsii,Vsego,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.07 Montazh i ekspluatatsiya vnutrennikh santekhnicheskikh ustroystv; konditsionirovaniya vozdukha i ventilyatsii,litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.07 Montazh i ekspluatatsiya vnutrennikh santekhnicheskikh ustroystv; konditsionirovaniya vozdukha i ventilyatsii,litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.07 Montazh i ekspluatatsiya vnutrennikh santekhnicheskikh ustroystv; konditsionirovaniya vozdukha i ventilyatsii,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.07 Montazh i ekspluatatsiya vnutrennikh santekhnicheskikh ustroystv; konditsionirovaniya vozdukha i ventilyatsii,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.10 Stroitelstvo zheleznykh dorog; put i putevoe khozyaystvo,Vsego,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.10 Stroitelstvo zheleznykh dorog; put i putevoe khozyaystvo,litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.10 Stroitelstvo zheleznykh dorog; put i putevoe khozyaystvo,litsa s OVZ (invalidy i deti-invalidy),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.10 Stroitelstvo zheleznykh dorog; put i putevoe khozyaystvo,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.10 Stroitelstvo zheleznykh dorog; put i putevoe khozyaystvo,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,09.02.03 Programmirovanie v kompyuternykh sistemakh,Vsego,24,6,6,6,1,0,0,4,0,1,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,09.02.03 Programmirovanie v kompyuternykh sistemakh,litsa s OVZ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,09.02.03 Programmirovanie v kompyuternykh sistemakh,litsa s OVZ (invalidy i deti-invalidy),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,09.02.03 Programmirovanie v kompyuternykh sistemakh,Invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,09.02.03 Programmirovanie v kompyuternykh sistemakh,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,13.02.11 Tekhnicheskaya ekspluatatsiya i obsluzhivanie elektricheskogo i elektromekhanicheskogo oborudovaniya (po otraslyam),Vsego,28,16,14,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,13.02.11 Tekhnicheskaya ekspluatatsiya i obsluzhivanie elektricheskogo i elektromekhanicheskogo oborudovaniya (po otraslyam),litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
