ID_POO,ID_принад,Наименование_ОО
1,1,ГАПОУ СО Алапаевский многопрофильный техникум
2,1,ГАПОУ СО Артемовский колледж точного приборостроения
3,1,ГАПОУ СО Артинский агропромышленный техникум
4,1,ГАПОУ СО Асбестовский политехникум
5,1,ГАПОУ СО Баранчинский электромеханический техникум
6,1,ГАПОУ СО Белоярский многопрофильный техникум
7,1,ГАПОУ СО Берёзовский техникум Профи
8,1,ГАПОУ СО Богдановичский политехникум
9,1,ГАПОУ СО Верхнепышминский механико-технологический техникум Юность
10,1,ГАПОУ СО Верхнесалдинский авиаметаллургический колледж им. А.А. Евстигнеева
11,1,ГАПОУ СО Верхнесинячихинский агропромышленный техникум
12,1,ГАПОУ СО Верхнетуринский механический техникум
13,1,ГАПОУ СО Высокогорский многопрофильный техникум
14,1,ГАПОУ СО Екатеринбургский автомобильно-дорожный колледж
15,1,ГАПОУ СО Екатеринбургский колледж транспортного строительства
16,1,ГАПОУ СО Екатеринбургский монтажный колледж
17,1,ГАПОУ СО Екатеринбургский политехникум
18,1,ГАПОУ СО Екатеринбургский промышленно-технологический техникум им. В.М.Курочкина
19,1,ГАПОУ СО Екатеринбургский техникум Автоматика
20,1,ГАПОУ СО Екатеринбургский техникум отраслевых технологий и сервиса
21,1,ГАПОУ СО Екатеринбургский техникум химического машиностроения
22,1,ГАПОУ СО Екатеринбургский торгово-экономический техникум
23,1,ГАПОУ СО Екатеринбургский экономико-технологический колледж
24,1,ГАПОУ СО Екатеринбургский энергетический техникум
25,1,ГАПОУ СО Ирбитский аграрный техникум
26,1,ГАПОУ СО Ирбитский гуманитарный колледж
27,1,ГАПОУ СО Ирбитский мотоциклетный техникум
28,1,ГАПОУ СО Ирбитский политехникум
29,1,ГАПОУ СО Исовский геологоразведочный техникум
30,1,ГАПОУ СО Каменск-Уральский агропромышленный техникум
31,1,ГАПОУ СО Каменск-Уральский педагогический колледж
32,1,ГАПОУ СО Каменск-Уральский политехнический колледж
33,1,ГАПОУ СО Каменск-Уральский радиотехнический техникум
34,1,ГАПОУ СО Каменск-Уральский техникум торговли и сервиса
35,1,ГАПОУ СО Камышловский гуманитарно-технологический техникум
36,1,ГАПОУ СО Камышловский педагогический колледж
37,1,ГАПОУ СО Камышловский техникум промышленности и транспорта
38,1,ГАПОУ СО Карпинский машиностроительный техникум
39,1,ГАПОУ СО Качканарский горно-промышленный колледж
40,1,ГАПОУ СО Колледж управления и сервиса Стиль
41,1,ГАПОУ СО Краснотурьинский индустриальный колледж
42,1,ГАПОУ СО Краснотурьинский политехникум
43,1,ГАПОУ СО Красноуральский многопрофильный техникум
44,1,ГАПОУ СО Красноуфимский аграрный колледж
45,1,ГАПОУ СО Красноуфимский многопрофильный техникум
46,1,ГАПОУ СО Нижнетагильский горно-металлургический колледж имени Е.А. и М.Е. Черепановых
47,1,ГАПОУ СО Нижнетагильский государственный профессиональный колледж имени Никиты Акинфиевича Демидова
48,1,ГАПОУ СО Нижнетагильский железнодорожный техникум
49,1,ГАПОУ СО Нижнетагильский педагогический колледж № 1
50,1,ГАПОУ СО Нижнетагильский педагогический колледж № 2
51,1,ГАПОУ СО Нижнетагильский строительный колледж
52,1,ГАПОУ СО Нижнетагильский техникум металлообрабатывающих производств и сервиса
53,1,ГАПОУ СО Нижнетагильский торгово-экономический колледж
54,1,ГАПОУ СО Новоуральский технологический колледж
55,1,ГАПОУ СО Областной техникум дизайна и сервиса
56,1,ГАПОУ СО Первоуральский металлургический колледж
57,1,ГАПОУ СО Первоуральский политехникум
58,1,ГАПОУ СО Полевской многопрофильный техникум им. В.И. Назарова
59,1,ГАПОУ СО Полипрофильный техникум им. О. В. Терёшкина
60,1,ГАПОУ СО Ревдинский многопрофильный техникум
61,1,ГАПОУ СО Ревдинский педагогический колледж
62,1,ГАПОУ СО Режевской политехникум
63,1,ГАПОУ СО Свердловский областной педагогический колледж
64,1,ГАПОУ СО Северный педагогический колледж
65,1,ГАПОУ СО Североуральский политехникум
66,1,ГАПОУ СО Сергинский многопрофильный техникум
67,1,ГАПОУ СО Серовский политехнический техникум
68,1,ГАПОУ СО Серовский техникум сферы обслуживания и питания
69,1,ГАПОУ СО Слободотуринский аграрно-экономический техникум
70,1,ГАПОУ СО Социально-профессиональный техникум Строитель
71,1,ГАПОУ СО Сухоложский многопрофильный техникум
72,1,ГАПОУ СО Сысертский социально-экономический техникум Родник
73,1,ГАПОУ СО Тавдинский техникум им. А.А.Елохина
