id_organiaztion;name_organization;id_department;
1;ГАПОУ СО Алапаевский многопрофильный техникум;1;
2;ГАПОУ СО Артемовский колледж точного приборостроения;1;
3;ГАПОУ СО Артинский агропромышленный техникум;1;
4;ГАПОУ СО Асбестовский политехникум;1;
5;ГАПОУ СО Баранчинский электромеханический техникум;1;
6;ГАПОУ СО Белоярский многопрофильный техникум;1;
7;ГАПОУ СО Берёзовский техникум Профи;1;
8;ГАПОУ СО Богдановичский политехникум;1;
9;ГАПОУ СО Верхнепышминский механико-технологический техникум Юность;1;
10;ГАПОУ СО Верхнесалдинский авиаметаллургический колледж им. А.А. Евстигнеева;1;
11;ГАПОУ СО Верхнесинячихинский агропромышленный техникум;1;
12;ГАПОУ СО Верхнетуринский механический техникум;1;
13;ГАПОУ СО Екатеринбургский колледж транспортного строительства;1;
14;ГАПОУ СО Высокогорский многопрофильный техникум;1;
15;ГАПОУ СО Екатеринбургский автомобильно-дорожный колледж;1;
16;ГАПОУ СО Екатеринбургский монтажный колледж;1;
17;ГАПОУ СО Екатеринбургский политехникум;1;
18;ГАПОУ СО Екатеринбургский промышленно-технологический техникум им. В.М.Курочкина;1;
19;ГАПОУ СО Екатеринбургский техникум Автоматика;1;
20;ГАПОУ СО Екатеринбургский техникум отраслевых технологий и сервиса;1;
21;ГАПОУ СО Екатеринбургский торгово-экономический техникум;1;
22;ГАПОУ СО Ирбитский аграрный техникум;1;
23;ГАПОУ СО Екатеринбургский техникум химического машиностроения;1;
24;ГАПОУ СО Екатеринбургский экономико-технологический колледж;1;
25;ГАПОУ СО Екатеринбургский энергетический техникум;1;
26;ГАПОУ СО Ирбитский гуманитарный колледж;1;
27;ГАПОУ СО Ирбитский политехникум;1;
28;ГАПОУ СО Ирбитский мотоциклетный техникум;1;
29;ГАПОУ СО Исовский геологоразведочный техникум;1;
30;ГАПОУ СО Каменск-Уральский агропромышленный техникум;1;
31;ГАПОУ СО Каменск-Уральский педагогический колледж;1;
32;ГАПОУ СО Каменск-Уральский политехнический колледж;1;
33;ГАПОУ СО Каменск-Уральский радиотехнический техникум;1;
34;ГАПОУ СО Каменск-Уральский техникум торговли и сервиса;1;
35;ГАПОУ СО Камышловский гуманитарно-технологический техникум;1;
36;ГАПОУ СО Камышловский педагогический колледж;1;
37;ГАПОУ СО Камышловский техникум промышленности и транспорта;1;
38;ГАПОУ СО Карпинский машиностроительный техникум;1;
39;ГАПОУ СО Качканарский горно-промышленный колледж;1;
40;ГАПОУ СО Колледж управления и сервиса Стиль;1;
41;ГАПОУ СО Краснотурьинский индустриальный колледж;1;
42;ГАПОУ СО Краснотурьинский политехникум;1;
43;ГАПОУ СО Красноуральский многопрофильный техникум;1;
44;ГАПОУ СО Красноуфимский аграрный колледж;1;
45;ГАПОУ СО Красноуфимский многопрофильный техникум;1;
46;ГАПОУ СО Нижнетагильский горно-металлургический колледж имени Е.А. и М.Е. Черепановых;1;
47;ГАПОУ СО Нижнетагильский государственный профессиональный колледж имени Никиты Акинфиевича Демидова;1;
48;ГАПОУ СО Нижнетагильский железнодорожный техникум;1;
49;ГАПОУ СО Нижнетагильский педагогический колледж № 1;1;
50;ГАПОУ СО Нижнетагильский педагогический колледж № 2;1;
51;ГАПОУ СО Нижнетагильский строительный колледж;1;
