ID_профес,Код_профес,Наим_профес
1,05.01.01,Гидрометнаблюдатель
2,05.02.01,Картография
3,05.02.02,Гидрология
4,05.02.03,Метеорология
5,07.02.01,Архитектура
6,08.01.01,Изготовитель арматурных сеток и каркасов
7,08.01.02,Монтажник трубопроводов
8,08.01.03,Трубоклад
9,08.01.04,Кровельщик
10,08.01.05,Мастер столярно-плотничных и паркетных работ
11,08.01.06,Мастер сухого строительства
12,08.01.07,Мастер общестроительных работ
13,08.01.08,Мастер отделочных строительных работ
14,08.01.09,Слесарь по строительно-монтажным работам
15,08.01.10,Мастер жилищно-коммунального хозяйства
16,08.01.11,Машинист машин и оборудования в производстве цемента
17,08.01.12,Оператор технологического оборудования в производстве стеновых и вяжущих материалов
18,08.01.13,Изготовитель железобетонных изделий
19,08.01.14,Монтажник санитарно-технических, вентиляционных систем и оборудования
20,08.01.15,Слесарь по изготовлению деталей и узлов технических систем в строительстве
21,08.01.16,Электромонтажник по сигнализации, централизации и блокировке
22,08.01.17,Электромонтажник-наладчик
23,08.01.18,Электромонтажник электрических сетей и электрооборудования
24,08.01.19,Электромонтажник по силовым сетям и электрооборудованию
25,08.01.20,Электромонтажник по электрическим машинам
26,08.01.21,Монтажник электрических подъемников (лифтов)
27,08.01.22,Мастер путевых машин
28,08.01.23,Бригадир-путеец
29,08.01.24,Мастер столярно-плотничных, паркетных и стекольных работ
30,08.01.25,Мастер отделочных строительных и декоративных работ
31,08.01.26,Мастер по ремонту и обслуживанию инженерных систем жилищно-коммунального хозяйства
32,08.02.01,Строительство и эксплуатация зданий и сооружений
33,08.02.02,Строительство и эксплуатация инженерных сооружений
34,08.02.03,Производство неметаллических строительных изделий и конструкций
35,08.02.04,Водоснабжение и водоотведение
36,08.02.05,Строительство и эксплуатация автомобильных дорог и аэродромов
37,08.02.06,Строительство и эксплуатация городских путей сообщения
38,08.02.07,Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции
39,08.02.08,Монтаж и эксплуатация оборудования и систем газоснабжения
40,08.02.09,Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий
41,08.02.10,Строительство железных дорог, путь и путевое хозяйство
42,08.02.11,Управление, эксплуатация и обслуживание многоквартирного дома
43,09.01.01,Наладчик аппаратного и программного обеспечения
44,09.01.02,Наладчик компьютерных сетей
45,09.01.03,Мастер по обработке цифровой информации
46,09.02.01,Компьютерные системы и комплексы
47,09.02.02,Компьютерные сети
48,09.02.03,Программирование в компьютерных системах
49,09.02.04,Информационные системы (по отраслям)
50,09.02.05,Прикладная информатика (по отраслям)
51,09.02.06,Сетевое и системное администрирование
52,09.02.07,Информационные системы и программирование
53,10.02.01,Организация и технология защиты информации
54,10.02.02,Информационная безопасность телекоммуникационных систем
55,10.02.03,Информационная безопасность автоматизированных систем
56,10.02.04,Обеспечение информационной безопасности телекоммуникационных систем
57,10.02.05,Обеспечение информационной безопасности автоматизированных систем
58,11.01.01,Монтажник радиоэлектронной аппаратуры и приборов
59,11.01.02,Радиомеханик
60,11.01.03,Радиооператор
61,11.01.04,Монтажник оборудования радио- и телефонной связи
62,11.01.05,Монтажник связи
63,11.01.06,Электромонтер оборудования электросвязи и проводного вещания
64,11.01.07,Электромонтер по ремонту линейно-кабельных сооружений телефонной связи и проводного вещания
65,11.01.08,Оператор связи
66,11.01.09,Оператор микроэлектронного производства
67,11.01.10,Оператор оборудования элионных процессов
68,11.01.11,Наладчик технологического оборудования (электронная техника)
69,11.01.12,Сборщик изделий электронной техники
70,11.01.13,Сборщик приборов вакуумной электроники
71,11.02.01,Радиоаппаратостроение
72,11.02.02,Техническое обслуживание и ремонт радиоэлектронной техники (по отраслям)
73,11.02.03,Эксплуатация оборудования радиосвязи и электрорадионавигации судов
74,11.02.04,Радиотехнические комплексы и системы управления космических летательных аппаратов
75,11.02.05,Аудиовизуальная техника
76,11.02.06,Техническая эксплуатация транспортного радиоэлектронного оборудования (по видам транспорта)
77,11.02.07,Радиотехнические информационные системы
78,11.02.08,Средства связи с подвижными объектами
79,11.02.09,Многоканальные телекоммуникационные системы
80,11.02.10,Радиосвязь, радиовещание и телевидение
81,11.02.11,Сети связи и системы коммутации
82,11.02.12,Почтовая связь
83,11.02.13,Твердотельная электроника
84,11.02.14,Электронные приборы и устройства
85,11.02.15,Инфокоммуникационные сети и системы связи
86,11.02.16,Монтаж, техническое обслуживание и ремонт электронных приборов и устройств
87,12.01.01,Наладчик оборудования оптического производства
88,12.01.02,Оптик-механик
89,12.01.03,Сборщик очков
90,12.01.04,Электромеханик по ремонту и обслуживанию наркознодыхательной аппаратуры
91,12.01.05,Электромеханик по ремонту и обслуживанию медицинского оборудования
92,12.01.06,Электромеханик по ремонту и обслуживанию медицинских оптических приборов
93,12.01.07,Электромеханик по ремонту и обслуживанию электронной медицинской аппаратуры
94,12.01.08,Механик протезно-ортопедических изделий
95,12.01.09,Мастер по изготовлению и сборке деталей и узлов оптических и оптико-электронных приборов и систем
96,12.02.01,Авиационные приборы и комплексы
97,12.02.02,Акустические приборы и системы
98,12.02.03,Радиоэлектронные приборные устройства
99,12.02.04,Электромеханические приборные устройства
100,12.02.05,Оптические и оптико-электронные приборы и системы
101,12.02.06,Биотехнические и медицинские аппараты и системы
102,12.02.07,Монтаж, техническое обслуживание и ремонт медицинской техники
103,12.02.08,Протезно-ортопедическая и реабилитационная техника
104,12.02.09,Производство и эксплуатация оптических и оптико-электронных приборов и систем
105,12.02.10,Монтаж, техническое обслуживание и ремонт биотехнических и медицинских аппаратов и систем
106,13.01.01,Машинист котлов
107,13.01.02,Машинист паровых турбин
108,13.01.03,Электрослесарь по ремонту оборудования электростанций
109,13.01.04,Слесарь по ремонту оборудования электростанций
110,13.01.05,Электромонтер по техническому обслуживанию электростанций и сетей
111,13.01.06,Электромонтер-литейщик по монтажу воздушных линий высокого напряжения и контактной сети
112,13.01.07,Электромонтер по ремонту электросетей
113,13.01.08,Сборщик трансформаторов
114,13.01.09,Сборщик электрических машин и аппаратов
115,13.01.10,Электромонтер по ремонту и обслуживанию электрооборудования (по отраслям)
116,13.01.11,Электромеханик по испытанию и ремонту электрооборудования летательных аппаратов
117,13.01.12,Сборщик электроизмерительных приборов
118,13.01.13,Электромонтажник-схемщик
119,13.01.14,Электромеханик по лифтам
120,13.02.01,Тепловые электрические станции
121,13.02.02,Теплоснабжение и теплотехническое оборудование
122,13.02.03,Электрические станции, сети и системы
123,13.02.04,Гидроэлектроэнергетические установки
124,13.02.05,Технология воды, топлива и смазочных материалов на электрических станциях
125,13.02.06,Релейная защита и автоматизация электроэнергетических систем
126,13.02.07,Электроснабжение (по отраслям)
127,13.02.08,Электроизоляционная, кабельная и конденсаторная техника
128,13.02.09,Монтаж и эксплуатация линий электропередачи
129,13.02.10,Электрические машины и аппараты
130,13.02.11,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям)
131,14.02.01,Атомные электрические станции и установки
132,14.02.02,Радиационная безопасность
133,14.02.03,Технология разделения изотопов
134,15.01.01,Оператор в производстве металлических изделий
135,15.01.02,Наладчик холодноштамповочного оборудования
136,15.01.03,Наладчик кузнечно-прессового оборудования
137,15.01.04,Наладчик сварочного и газоплазморезательного оборудования
138,15.01.05,Сварщик (ручной и частично механизированной сварки (наплавки)
139,15.01.06,Сварщик на лазерных установках
140,15.01.07,Сварщик на электронно-лучевых сварочных установках
141,15.01.08,Наладчик литейного оборудования
142,15.01.09,Машинист лесозаготовительных и трелевочных машин
143,15.01.10,Слесарь по ремонту лесозаготовительного оборудования
144,15.01.11,Электромонтажник блоков электронно-механических часов
145,15.01.12,Часовщик-ремонтник
146,15.01.13,Монтажник технологического оборудования (по видам оборудования)
147,15.01.14,Наладчик оборудования в бумажном производстве
148,15.01.15,Наладчик деревообрабатывающего оборудования
149,15.01.16,Наладчик технологического оборудования в производстве строительных материалов
150,15.01.17,Электромеханик по торговому и холодильному оборудованию
151,15.01.18,Машинист холодильных установок
152,15.01.19,Наладчик контрольно-измерительных приборов и автоматики
153,15.01.20,Слесарь по контрольно-измерительным приборам и автоматике
154,15.01.21,Электромонтер охранно-пожарной сигнализации
155,15.01.22,Чертежник-конструктор
156,15.01.23,Наладчик станков и оборудования в механообработке
157,15.01.24,Наладчик шлифовальных станков
158,15.01.25,Станочник (металлообработка)
159,15.01.26,Токарь-универсал
160,15.01.27,Фрезеровщик-универсал
161,15.01.28,Шлифовщик-универсал
162,15.01.29,Контролер станочных и слесарных работ
163,15.01.30,Слесарь
164,15.01.31,Мастер контрольно-измерительных приборов и автоматики
165,15.01.32,Оператор станков с программным управлением
166,15.01.33,Токарь на станках с числовым программным управлением
167,15.01.34,Фрезеровщик на станках с числовым программным управлением
168,15.01.35,Мастер слесарных работ
169,15.01.36,Дефектоскопист
170,15.02.01,Монтаж и техническая эксплуатация промышленного оборудования (по отраслям)
171,15.02.02,Техническая эксплуатация оборудования для производства электронной техники
172,15.02.03,Техническая эксплуатация гидравлических машин, гидроприводов и гидропневмоавтоматики
173,15.02.04,Специальные машины и устройства
174,15.02.05,Техническая эксплуатация оборудования в торговле и общественном питании
175,15.02.06,Монтаж и техническая эксплуатация холодильно-компрессорных машин и установок (по отраслям)
176,15.02.07,Автоматизация технологических процессов и производств (по отраслям)
177,15.02.08,Технология машиностроения
178,15.02.09,Аддитивные технологии
179,15.02.10,Мехатроника и мобильная робототехника (по отраслям)
180,15.02.11,Техническая эксплуатация и обслуживание роботизированного производства
181,15.02.12,Монтаж, техническое обслуживание и ремонт промышленного оборудования (по отраслям)
182,15.02.13,Техническое обслуживание и ремонт систем вентиляции и кондиционирования
183,15.02.14,Оснащение средствами автоматизации технологических процессов и производств (по отраслям)
184,15.02.15,Технология металлообрабатывающего производства
185,18.01.01,Лаборант по физико-механическим испытаниям
186,18.01.02,Лаборант-эколог
187,18.01.03,Аппаратчик-оператор экологических установок
188,18.01.04,Изготовитель изделий строительной керамики
189,18.01.05,Аппаратчик-оператор производства неорганических веществ
