ID,obrorgan,pinadleg,code,name_code,stroka,name_stroka,datee,vypusk,tk,tk_spec,tk__month,Indivpred,samozan,teach,army_priz,army_contr,decret,neformal,szn,no_motiv,drugoe,smert,nakazan,pereezd,uxod,inostran,inoe,will_trud,will_individpred,will_samozan,will_army_priz,will_army_contract,will_teach
1,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.01,Строительство и эксплуатация зданий и сооружений,1,Всего,44835,21,16,16,16,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.01,Строительство и эксплуатация зданий и сооружений,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.01,Строительство и эксплуатация зданий и сооружений,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.01,Строительство и эксплуатация зданий и сооружений,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.01,Строительство и эксплуатация зданий и сооружений,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.07,Монтаж и эксплуатация внутренних сантехнических устройств; кондиционирования воздуха и вентиляции,1,Всего,44835,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"7,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.07,Монтаж и эксплуатация внутренних сантехнических устройств; кондиционирования воздуха и вентиляции,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"8,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.07,Монтаж и эксплуатация внутренних сантехнических устройств; кондиционирования воздуха и вентиляции,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"9,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.07,Монтаж и эксплуатация внутренних сантехнических устройств; кондиционирования воздуха и вентиляции,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"10,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.07,Монтаж и эксплуатация внутренних сантехнических устройств; кондиционирования воздуха и вентиляции,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"11,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.10,Строительство железных дорог; путь и путевое хозяйство,1,Всего,44835,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"12,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.10,Строительство железных дорог; путь и путевое хозяйство,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"13,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.10,Строительство железных дорог; путь и путевое хозяйство,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"14,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.10,Строительство железных дорог; путь и путевое хозяйство,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"15,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,08.02.10,Строительство железных дорог; путь и путевое хозяйство,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
16,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,09.02.03,Программирование в компьютерных системах,1,Всего,44835,24,6,6,6,1,0,0,4,0,1,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
17,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,09.02.03,Программирование в компьютерных системах,2,лица с ОВЗ,44835,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,09.02.03,Программирование в компьютерных системах,3,из ОВЗ: инвалиды и дети-инвалиды,44835,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,09.02.03,Программирование в компьютерных системах,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,09.02.03,Программирование в компьютерных системах,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,13.02.11,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),1,Всего,44835,28,16,14,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,13.02.11,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,13.02.11,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,13.02.11,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,13.02.11,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям),5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
