"Naimenovanie obrazovatelnoy organizatsii,Kod professii,Naimenovanie pokazateley,Summarnyy vypusk 2021,Trudoustroeny,v sootvetstvii s osvoennoy professiey,rabotayut na protyazhenii ne menee 4-kh mesyatsev,IP,Samozanyatye,Prodolzhili obuchenie,Prokhodyat sluzhbu v armii po prizyvu,Prokhodyat sluzhbu v armii na kontraktnoy osnove,Nakhodyatsya v otpuske po ukhodu za rebenkom,Neformalnaya zanyatost,Zaregistrirovany v tsentrakh zanyatosti v kachestve bezrabotnykh,Ne imeyut motivatsii k trudoustroystvu,Inye prichiny,Smert; tyazheloe sostoyanie zdorovya,Nakhodyatsya pod sledstviem; otbyvayut nakazanie ,Pereezd za predely Rossiyskoy Federatsii,Ne mogut trudoustraivatsya v svyazi s ukhodom za bolnymi rodstvennikami,Vypuskniki iz chisla inostrannykh grazhdan,Inoe,budut trudoustroeny,budut IP,budut samozanyatymi,budut prizvany v armiyu,budut v armii na kontraktnoy osnove,budut prodolzhat obuchenie"
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.01 Stroitelstvo i ekspluatatsiya zdaniy i sooruzheniy,Vsego  (obschaya chislennost vypusknikov),21,16,16,16,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.01 Stroitelstvo i ekspluatatsiya zdaniy i sooruzheniy,iz obschey chislennosti vypusknikov (iz stroki 01): litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.01 Stroitelstvo i ekspluatatsiya zdaniy i sooruzheniy,iz chisla lits s OVZ (iz stroki 02): invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.01 Stroitelstvo i ekspluatatsiya zdaniy i sooruzheniy,Invalidy i deti-invalidy (krome uchtennykh v stroke 03),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.01 Stroitelstvo i ekspluatatsiya zdaniy i sooruzheniy,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.07 Montazh i ekspluatatsiya vnutrennikh santekhnicheskikh ustroystv; konditsionirovaniya vozdukha i ventilyatsii,Vsego  (obschaya chislennost vypusknikov),10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.07 Montazh i ekspluatatsiya vnutrennikh santekhnicheskikh ustroystv; konditsionirovaniya vozdukha i ventilyatsii,iz obschey chislennosti vypusknikov (iz stroki 01): litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.07 Montazh i ekspluatatsiya vnutrennikh santekhnicheskikh ustroystv; konditsionirovaniya vozdukha i ventilyatsii,iz chisla lits s OVZ (iz stroki 02): invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.07 Montazh i ekspluatatsiya vnutrennikh santekhnicheskikh ustroystv; konditsionirovaniya vozdukha i ventilyatsii,Invalidy i deti-invalidy (krome uchtennykh v stroke 03),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.07 Montazh i ekspluatatsiya vnutrennikh santekhnicheskikh ustroystv; konditsionirovaniya vozdukha i ventilyatsii,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.10 Stroitelstvo zheleznykh dorog; put i putevoe khozyaystvo,Vsego  (obschaya chislennost vypusknikov),6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.10 Stroitelstvo zheleznykh dorog; put i putevoe khozyaystvo,iz obschey chislennosti vypusknikov (iz stroki 01): litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.10 Stroitelstvo zheleznykh dorog; put i putevoe khozyaystvo,iz chisla lits s OVZ (iz stroki 02): invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.10 Stroitelstvo zheleznykh dorog; put i putevoe khozyaystvo,Invalidy i deti-invalidy (krome uchtennykh v stroke 03),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,08.02.10 Stroitelstvo zheleznykh dorog; put i putevoe khozyaystvo,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,09.02.03 Programmirovanie v kompyuternykh sistemakh,Vsego  (obschaya chislennost vypusknikov),24,6,6,6,1,0,0,4,0,1,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,09.02.03 Programmirovanie v kompyuternykh sistemakh,iz obschey chislennosti vypusknikov (iz stroki 01): litsa s OVZ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,09.02.03 Programmirovanie v kompyuternykh sistemakh,iz chisla lits s OVZ (iz stroki 02): invalidy i deti-invalidy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,09.02.03 Programmirovanie v kompyuternykh sistemakh,Invalidy i deti-invalidy (krome uchtennykh v stroke 03),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,09.02.03 Programmirovanie v kompyuternykh sistemakh,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
